keyword,playlist_name,playlist_description,playlist_url,track_name,artist,artist_genres,track_url,song
bar,BARRY WHITE'S GREATEST HITS.,The best of Barry White in one playlist.,https://open.spotify.com/playlist/6HQ8JIoNnAupZ3y1Ekkf55,"Can't Get Enough Of Your Love, Babe",Barry White,"disco, soul, quiet storm, philly soul",https://open.spotify.com/track/3mWpUEBYnv9SIFWfixSJFx,
bar,BARRY WHITE'S GREATEST HITS.,The best of Barry White in one playlist.,https://open.spotify.com/playlist/6HQ8JIoNnAupZ3y1Ekkf55,Let The Music Play - Single Version,Barry White,"disco, soul, quiet storm, philly soul",https://open.spotify.com/track/75pBjCi8cxfkp4xd68uo6O,
bar,BARRY WHITE'S GREATEST HITS.,The best of Barry White in one playlist.,https://open.spotify.com/playlist/6HQ8JIoNnAupZ3y1Ekkf55,"You're The First, The Last, My Everything",Barry White,"disco, soul, quiet storm, philly soul",https://open.spotify.com/track/5dXJ1SoksFkgdx3yxIoYNO,
bar,lofi Jazz Cafe 🎷Study Beats & Chill Vibes,Jazzy lo-fi hip hop dinner lounge music bar instrumental covers low-fi study adhd focus chillhop new Jazzhop 2025 lowfi chilled winter nights sleep  💤,https://open.spotify.com/playlist/2Al9G2jrWkwDlRFMZaw1GX,Get Together,Phlocalyst,"lo-fi, lo-fi beats, jazz beats",https://open.spotify.com/track/7nNck2PhET9OK7epBKwhHz,"Jazzy lo-fi hip hop,  instrumental"
bar,lofi Jazz Cafe 🎷Study Beats & Chill Vibes,"Jazzy lo-fi hip hop,  instrumental",https://open.spotify.com/playlist/2Al9G2jrWkwDlRFMZaw1GX,Zealous,Hewie Lou,"lo-fi beats, lo-fi",https://open.spotify.com/track/2bCj6NiPvikQpQ0CoKqWyQ,"Jazzy lo-fi hip hop,  instrumental"
bar,lofi Jazz Cafe 🎷Study Beats & Chill Vibes,Jazzy lo-fi hip hop dinner lounge music bar instrumental covers low-fi study adhd focus chillhop new Jazzhop 2025 lowfi chilled winter nights sleep  💤,https://open.spotify.com/playlist/2Al9G2jrWkwDlRFMZaw1GX,Night Tale,Shin-Ski,"jazz beats, jazz rap, lo-fi, lo-fi beats",https://open.spotify.com/track/33VrKSlFyLgSAgbGzs4HYu,"Jazzy lo-fi hip hop,  instrumental"
bar,Barbra Streisand Greatest Hits,Feel the power and beauty of her alluring voice with this selection of signature classics.,https://open.spotify.com/playlist/13a5CwC9hTpCXE91wJxasN,The Love Inside,Barbra Streisand,adult standards,https://open.spotify.com/track/6KtMVux8CdcmNNICOx5soh,"alluring voice, signature classics."
bar,Barbra Streisand Greatest Hits,Feel the power and beauty of her alluring voice with this selection of signature classics.,https://open.spotify.com/playlist/13a5CwC9hTpCXE91wJxasN,Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,https://open.spotify.com/track/60mGckXEG1EzR4VmjYLfEW,"alluring voice, signature classics."
bar,Barbra Streisand Greatest Hits,Feel the power and beauty of her alluring voice with this selection of signature classics.,https://open.spotify.com/playlist/13a5CwC9hTpCXE91wJxasN,My Heart Belongs to Me,Barbra Streisand,adult standards,https://open.spotify.com/track/7u2FvRYl39hmNHklBlsjkm,"alluring voice, signature classics."
sushi bar 计数,,,,,,,14,
sushi bar,Sushi Lounge 🍣 Chill Background Music,Lounge music for your Sushi Night 🍣 Sushi Date - Sushi Restaurant - Dinner - Sushi Nights - Sushi Bar,https://open.spotify.com/playlist/4YsZ5hHBWeCLgjquivdB1O,Beautiful Things,Mecdoux,lounge,https://open.spotify.com/track/3xHKRoHhGEFFomtkSPHsUH,Lounge music 
sushi bar,Sushi Lounge 🍣 Chill Background Music,Lounge music for your Sushi Night 🍣 Sushi Date - Sushi Restaurant - Dinner - Sushi Nights - Sushi Bar,https://open.spotify.com/playlist/4YsZ5hHBWeCLgjquivdB1O,Sunset Lovers,Thierry Von Der Warth,tropical house,https://open.spotify.com/track/1x7NAvqHgCvhV549ls0FTE,Lounge music 
sushi bar,Sushi Lounge Restaurant ,Updated weekly with the hits of the moment: Lounge - Chill Out - Pop Music | Lounge Restaurant - Sushi Club - Soft Sound - Relax Mood - Ristorante Lounge - Aperitif Time - Aperitivo Lounge - Cocktail Party - Lounge Bar ,https://open.spotify.com/playlist/12ygetWhkGraQJXNHV0ZCr,Solfa (Tila),Francis Mercier,"afro house, melodic house, latin house, tribal house, house",https://open.spotify.com/track/0UjVEZKFVuWOiQwsrikOoP,"Lounge,  Pop Music "
sushi bar,Sushi Lounge Restaurant ,Updated weekly with the hits of the moment: Lounge - Chill Out - Pop Music | Lounge Restaurant - Sushi Club - Soft Sound - Relax Mood - Ristorante Lounge - Aperitif Time - Aperitivo Lounge - Cocktail Party - Lounge Bar ,https://open.spotify.com/playlist/12ygetWhkGraQJXNHV0ZCr,Location,Zerb,afro house,https://open.spotify.com/track/6Ilomcr9iLplsgAvZjHkJP,"Lounge,  Pop Music "
sushi bar,Sushi Lounge Restaurant ,Updated weekly with the hits of the moment: Lounge - Chill Out - Pop Music | Lounge Restaurant - Sushi Club - Soft Sound - Relax Mood - Ristorante Lounge - Aperitif Time - Aperitivo Lounge - Cocktail Party - Lounge Bar ,https://open.spotify.com/playlist/12ygetWhkGraQJXNHV0ZCr,Where Did You Go,Lavern,stutter house,https://open.spotify.com/track/2uSzybi2WiQq53sV4YP0L5,"Lounge,  Pop Music "
sushi bar,jazz bar in nyc🎷,one day I will visit a jazz bar and do nothing but listen… like the movies🎷,https://open.spotify.com/playlist/26Zi3qLKC9cAWDs7wbbSzc,But Not For Me - Vocal Version,Chet Baker,"jazz, cool jazz, vocal jazz",https://open.spotify.com/track/3pfbQmD5xGH9Tcc7GqGfSL,
sushi bar,jazz bar in nyc🎷,one day I will visit a jazz bar and do nothing but listen… like the movies🎷,https://open.spotify.com/playlist/26Zi3qLKC9cAWDs7wbbSzc,Solitude,Billie Holiday,"jazz, vocal jazz, jazz blues, big band",https://open.spotify.com/track/30QD4VRP9yEneOh0eGTrtJ,
sushi bar,jazz bar in nyc🎷,one day I will visit a jazz bar and do nothing but listen… like the movies🎷,https://open.spotify.com/playlist/26Zi3qLKC9cAWDs7wbbSzc,I'm In The Mood For Love,Julie London,"vocal jazz, jazz",https://open.spotify.com/track/6crfO56bDm0RjpctUuGs5X,
sushi bar,The Sushi Bar Mix,Safe for work playlist mix,https://open.spotify.com/playlist/7KPufkmAmH7u7d2G3enPSg,Sweet Venom,ENHYPEN,k-pop,https://open.spotify.com/track/2YmfV4lAjrAQvuggKCUX6m,
sushi bar,The Sushi Bar Mix,Safe for work playlist mix,https://open.spotify.com/playlist/7KPufkmAmH7u7d2G3enPSg,FEVER,ENHYPEN,k-pop,https://open.spotify.com/track/0UzymivvUH5s8z4PeWZJaK,
sushi bar,The Sushi Bar Mix,Safe for work playlist mix,https://open.spotify.com/playlist/7KPufkmAmH7u7d2G3enPSg,Bite Me,ENHYPEN,k-pop,https://open.spotify.com/track/7mpdNiaQvygj2rHoxkzMfa,
sushi bar,Oishi Sushi Bar 2023,Un restaurante nikkei transmitiendo sensaciones con todos los sentidos.,https://open.spotify.com/playlist/114CvqKLZqpZcctsScGr8G,Todo De Ti,Rauw Alejandro,"reggaeton, urbano latino, trap latino, latin",https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo,
sushi bar,Oishi Sushi Bar 2023,Un restaurante nikkei transmitiendo sensaciones con todos los sentidos.,https://open.spotify.com/playlist/114CvqKLZqpZcctsScGr8G,Pareja Del Año,Sebastian Yatra,"colombian pop, reggaeton, latin",https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM,
sushi bar,Oishi Sushi Bar 2023,Un restaurante nikkei transmitiendo sensaciones con todos los sentidos.,https://open.spotify.com/playlist/114CvqKLZqpZcctsScGr8G,Sobrio,Maluma,"reggaeton, latin, urbano latino",https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w,
izakaya 计数,,,,,,,16,
izakaya,Japanese Izakaya Sake Bar,Sake night music at an Izakaya in Osaka.,https://open.spotify.com/playlist/7bRB4CMZvqeaaMzVL6j8EW,ブリーズ,稲垣次郎とソウル・メディア,"jazz fusion, jazz funk, jazz",https://open.spotify.com/track/2llFlNkPX4hW1M3HLdEMBm,
izakaya,Japanese Izakaya Sake Bar,Sake night music at an Izakaya in Osaka.,https://open.spotify.com/playlist/7bRB4CMZvqeaaMzVL6j8EW,ビリンバウ,Hiromitsu Agatsuma,"japanese classical, traditional music",https://open.spotify.com/track/364BA7lvmGQ5MPiRI5gaNc,
izakaya,Japanese Izakaya Sake Bar,Sake night music at an Izakaya in Osaka.,https://open.spotify.com/playlist/7bRB4CMZvqeaaMzVL6j8EW,Edo,iwamizu,jazz beats,https://open.spotify.com/track/7r2vvsMQYowwVrQp4lHKAG,
izakaya,Izakaya Japanese Cuisine,"Playlist of Izakaya Japanese Cuisine , Porto",https://open.spotify.com/playlist/3HTLBM4kAZuo7ineA4mfSy,Night over Manaus,Boozoo Bajou,"downtempo, nu jazz, trip hop, acid jazz, lounge",https://open.spotify.com/track/23jbfWs739EBZEl4xWYiVl,
izakaya,Izakaya Japanese Cuisine,"Playlist of Izakaya Japanese Cuisine , Porto",https://open.spotify.com/playlist/3HTLBM4kAZuo7ineA4mfSy,So Flute,St Germain,"jazz house, nu jazz, acid jazz, downtempo, lounge",https://open.spotify.com/track/1XAzFYJR94m9T4AgshhO99,
izakaya,Izakaya Japanese Cuisine,"Playlist of Izakaya Japanese Cuisine , Porto",https://open.spotify.com/playlist/3HTLBM4kAZuo7ineA4mfSy,Seize The Day,Wax Tailor,"trip hop, downtempo, electro swing, nu jazz",https://open.spotify.com/track/04rz2UaJqbK4aUs7TSk7Sw,
izakaya,Izakaya Nights : jazz hop,Genre: jazz hop 🥃 Insta.: @IzakayaNights for updates and artist social media.,https://open.spotify.com/playlist/0OrfrRLvroCyw8kNOV09Sr,Rainfall,Maxgonz,"jazz rap, jazz beats, lo-fi beats",https://open.spotify.com/track/07pzjeYhYHtH46ubD7u2av,jazz hop
izakaya,Izakaya Nights : jazz hop,Genre: jazz hop 🥃 Insta.: @IzakayaNights for updates and artist social media.,https://open.spotify.com/playlist/0OrfrRLvroCyw8kNOV09Sr,Blue Avenue,Jazz Liberatorz,"jazz rap, nu jazz, jazz beats",https://open.spotify.com/track/50e8KL7TnyNKLaWfCSr0xf,jazz hop
izakaya,Tatsu Izakaya 🏮 ,"Tatsu Izakaya&#x27;s offical playlist. Come join us for some for some sushi and ramen! Location: 2022 S University Blvd Denver CO, 80210",https://open.spotify.com/playlist/6vyNQ3WYH9obyBAfOVyUM1,Kaikai Kitan,Eve,"anime, j-pop, j-rock, vocaloid, japanese indie",https://open.spotify.com/track/6y4GYuZszeXNOXuBFsJlos,
izakaya,Tatsu Izakaya 🏮 ,"Tatsu Izakaya&#x27;s offical playlist. Come join us for some for some sushi and ramen! Location: 2022 S University Blvd Denver CO, 80210",https://open.spotify.com/playlist/6vyNQ3WYH9obyBAfOVyUM1,Shangri-La,SPEECHLESS,"lo-fi, lo-fi beats",https://open.spotify.com/track/7zSK6bhZumwZxkt1GP7WGo,
izakaya,Tatsu Izakaya 🏮 ,"Tatsu Izakaya&#x27;s offical playlist. Come join us for some for some sushi and ramen! Location: 2022 S University Blvd Denver CO, 80210",https://open.spotify.com/playlist/6vyNQ3WYH9obyBAfOVyUM1,veil,須田景凪,"anime, j-pop, j-rock",https://open.spotify.com/track/1QkEUbGSlp70DYNFcxcxYI,
izakaya,Kuzu Izakaya Woodend,Bring the Kuzu vibe to your own home. Visit www.kuzu.com.au,https://open.spotify.com/playlist/1uRycn5cvR73erB82exbOo,Well Run Dry,Phat Phunktion,"jazz funk, funk rock, acid jazz, funk",https://open.spotify.com/track/0dlfcbC2ecv3RS94noopTd,
izakaya,Kuzu Izakaya Woodend,Bring the Kuzu vibe to your own home. Visit www.kuzu.com.au,https://open.spotify.com/playlist/1uRycn5cvR73erB82exbOo,Pass The Peas,The J.B.'s,"funk, soul",https://open.spotify.com/track/62rSpnxXl2lXDevp1z583x,
izakaya,Kuzu Izakaya Woodend,Bring the Kuzu vibe to your own home. Visit www.kuzu.com.au,https://open.spotify.com/playlist/1uRycn5cvR73erB82exbOo,Chicken,Maceo Parker,"jazz funk, soul jazz, acid jazz, jazz blues",https://open.spotify.com/track/1RTnm3X7m7ugfVYIDIlAho,
izakaya,Izakaya Nights : chill hop,Genre: chill hop 🗻 Insta.: @IzakayaNights for updates and artist social media. [📸 by Li Hui],https://open.spotify.com/playlist/2TgvOY3iUgIZUnCMQe5gVh,..Ravenous..,STRAANGE,chill hop,https://open.spotify.com/track/5Q9Ob3O8LsBzxOlchCS0vN,
izakaya,Izakaya Nights : chill hop,Genre: chill hop 🗻 Insta.: @IzakayaNights for updates and artist social media. [📸 by Li Hui],https://open.spotify.com/playlist/2TgvOY3iUgIZUnCMQe5gVh,HiFi,Dil Withers,chill hop,https://open.spotify.com/track/2TNqKqh1Es7FPujetzCkZX,
Vegan Restaurant 计数,,,,,,,10,
Vegan Restaurant,good afternoon,"Fully inspired by my Maya. Dif vibe this time, it’s kind of like millennial-run, chill vegan restaurant",https://open.spotify.com/playlist/33oa95ATRtkNhApnTwVX7e,Sea Gets Hotter,Durand Jones & The Indications,retro soul,https://open.spotify.com/track/5ZK62nSchTamBy8F6HIZov,
Vegan Restaurant,Epic Dining,Actively curated playlist inspired by dinner music heard at the fabulous Epic vegan restaurant in Cabo San Lucas. (Mostly electro-bossa mixed with select tracks.),https://open.spotify.com/playlist/1O0QoatngS8XFBo7wjHDoN,Samba da Bencao,Gabrielle Chiararo,"bossa nova, lounge",https://open.spotify.com/track/1GHGF9hEwJLme7S9w1pqsK,dinner music
Vegan Restaurant,Epic Dining,Actively curated playlist inspired by dinner music heard at the fabulous Epic vegan restaurant in Cabo San Lucas. (Mostly electro-bossa mixed with select tracks.),https://open.spotify.com/playlist/1O0QoatngS8XFBo7wjHDoN,Acontece,Adriana Maciel,"nova mpb, bossa nova, mpb",https://open.spotify.com/track/2ojXYXzJv3nL4ikeXlw8IH,dinner music
Vegan Restaurant,Veganees,De lekkerste funky plaatjes van restaurant Veganees!,https://open.spotify.com/playlist/59cEH2yd630SKw4J6Af3jK,Rebel Rebel - 2016 Remaster,David Bowie,"glam rock, art rock",https://open.spotify.com/track/2EC9IJj7g0mN1Q5VrZkiYY,
Vegan Restaurant,Veganees,De lekkerste funky plaatjes van restaurant Veganees!,https://open.spotify.com/playlist/59cEH2yd630SKw4J6Af3jK,Heroes - 2017 Remaster,David Bowie,"glam rock, art rock",https://open.spotify.com/track/7Jh1bpe76CNTCgdgAdBw4Z,
Vegan Restaurant,vegan house party,hip restaurant or banging night out?,https://open.spotify.com/playlist/6284aVoJnS30yhhrqq0Fzy,Tondo,Disclosure,house,https://open.spotify.com/track/0csz09qS2n8Jo7LogHKu7j,
