keyword,playlist_name,playlist_description,playlist_url,track_name,artist,artist_genres,track_url
japanese restaurant,"Sushi Nights - Japanese Music | Traditional Asian Vibes, Peaceful Instrumental, Guitar, Piano, OSTs","A collection of the best japanese music for your Sushi Nights with friends, curated by <a href=""https://wanderworldmusic.com"">WWM</a>. - lounge, restaurant, wasabi, dreamy, piano, flute, guitar, anime, movies, ost, soundtracks, epic, emotional, themes, relax, chill, calm, peaceful, meditate, focus",https://open.spotify.com/playlist/295sjg2ddSClZhzExHh4dT,Cherry Blossoms,Kairos,,https://open.spotify.com/track/2d7EY7wxqWaQASrYAJlwN6
japanese restaurant,Tokyo City Cafe 日本 Coffee Shop,"Chill, minimalist, eclectic coffeehouse music from Japan. 日本からの冷静で折衷的な喫茶店の音楽。",https://open.spotify.com/playlist/72IkXOy3MrD0wqLrC3ZLrA,水辺の妖精,Ichiko Aoba,"japanese indie, shibuya-kei",https://open.spotify.com/track/2P2wemLwMXQ3G6Rox8lqjq
japanese restaurant,Tokyo City Cafe 日本 Coffee Shop,"Chill, minimalist, eclectic coffeehouse music from Japan. 日本からの冷静で折衷的な喫茶店の音楽。",https://open.spotify.com/playlist/72IkXOy3MrD0wqLrC3ZLrA,あいがあって,Oh Shu,japanese indie,https://open.spotify.com/track/7EaEOkIanN1ytCFU2rsqlC
japanese restaurant,🌸JAPANESE GARDEN🌸,traditional japanese music for relaxing and gaming,https://open.spotify.com/playlist/45er4vzivD9kQghbeyJ9kf,Haru no Umi (the Sea in Spring) [arr. J. Hirota],Joji Hirota,"japanese classical, traditional music",https://open.spotify.com/track/0qlKAAvaxxPnNqTHppg0x0
japanese restaurant,🌸JAPANESE GARDEN🌸,traditional japanese music for relaxing and gaming,https://open.spotify.com/playlist/45er4vzivD9kQghbeyJ9kf,Yamaji,Kozo Madura,,https://open.spotify.com/track/6Nar2GcYiNuUWeXuteK3py
sushi bar,"Sushi Nights - Japanese Music | Traditional Asian Vibes, Peaceful Instrumental, Guitar, Piano, OSTs","A collection of the best japanese music for your Sushi Nights with friends, curated by <a href=""https://wanderworldmusic.com"">WWM</a>. - lounge, restaurant, wasabi, dreamy, piano, flute, guitar, anime, movies, ost, soundtracks, epic, emotional, themes, relax, chill, calm, peaceful, meditate, focus",https://open.spotify.com/playlist/295sjg2ddSClZhzExHh4dT,Natsukashi,Koide Akinori,,https://open.spotify.com/track/44flzAsOaO2sLtyFw14QTN
sushi bar,"Sushi Nights - Japanese Music | Traditional Asian Vibes, Peaceful Instrumental, Guitar, Piano, OSTs","A collection of the best japanese music for your Sushi Nights with friends, curated by <a href=""https://wanderworldmusic.com"">WWM</a>. - lounge, restaurant, wasabi, dreamy, piano, flute, guitar, anime, movies, ost, soundtracks, epic, emotional, themes, relax, chill, calm, peaceful, meditate, focus",https://open.spotify.com/playlist/295sjg2ddSClZhzExHh4dT,Cherry Blossoms,Kairos,,https://open.spotify.com/track/2d7EY7wxqWaQASrYAJlwN6
sushi bar,Sushi Lounge 🍣 Chill Background Music,Lounge music for your Sushi Night 🍣 Sushi Date - Sushi Restaurant - Dinner - Sushi Nights - Sushi Bar,https://open.spotify.com/playlist/4YsZ5hHBWeCLgjquivdB1O,Cold Heart - PNAU Remix,Elton John,,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
sushi bar,Sushi Lounge 🍣 Chill Background Music,Lounge music for your Sushi Night 🍣 Sushi Date - Sushi Restaurant - Dinner - Sushi Nights - Sushi Bar,https://open.spotify.com/playlist/4YsZ5hHBWeCLgjquivdB1O,Beautiful Things,Mecdoux,lounge,https://open.spotify.com/track/3xHKRoHhGEFFomtkSPHsUH
sushi bar,Sushi Lounge Restaurant ,Updated weekly with the hits of the moment: Lounge - Chill Out - Pop Music | Lounge Restaurant - Sushi Club - Soft Sound - Relax Mood - Ristorante Lounge - Aperitif Time - Aperitivo Lounge - Cocktail Party - Lounge Bar ,https://open.spotify.com/playlist/12ygetWhkGraQJXNHV0ZCr,Solfa (Tila),Francis Mercier,"afro house, melodic house, latin house, tribal house, house",https://open.spotify.com/track/0UjVEZKFVuWOiQwsrikOoP
sushi bar,Sushi Lounge Restaurant ,Updated weekly with the hits of the moment: Lounge - Chill Out - Pop Music | Lounge Restaurant - Sushi Club - Soft Sound - Relax Mood - Ristorante Lounge - Aperitif Time - Aperitivo Lounge - Cocktail Party - Lounge Bar ,https://open.spotify.com/playlist/12ygetWhkGraQJXNHV0ZCr,Location,Zerb,afro house,https://open.spotify.com/track/6Ilomcr9iLplsgAvZjHkJP
sushi bar,Restaurant Lounge Music 🍝🍷🍴 Dinner Chill 2025 ,"The best lounge hits to compliment your food &amp; drinks! ( Dinner Vibes, Hotel Lounge, Lunch, Friends, Lounge Bar, Food, Sushi, Apero, Deep House, Holiday, Cosy Songs, Chill House, Chillout, Relax, Cocktail, Smooth, Chill Background Music, Eten, Manger, Essen, Abendessen, Dejeuner, Eating, Skybar )",https://open.spotify.com/playlist/1uR22H9Nu6BiwN1NRfVOMl,It Runs Through Me (feat. De La Soul),Tom Misch,,https://open.spotify.com/track/0vMctOnb4YNIvbqgkbWNDy
sushi bar,Restaurant Lounge Music 🍝🍷🍴 Dinner Chill 2025 ,"The best lounge hits to compliment your food &amp; drinks! ( Dinner Vibes, Hotel Lounge, Lunch, Friends, Lounge Bar, Food, Sushi, Apero, Deep House, Holiday, Cosy Songs, Chill House, Chillout, Relax, Cocktail, Smooth, Chill Background Music, Eten, Manger, Essen, Abendessen, Dejeuner, Eating, Skybar )",https://open.spotify.com/playlist/1uR22H9Nu6BiwN1NRfVOMl,Something About You,Hayden James,,https://open.spotify.com/track/5n9DJWUiwuKuPE9sCVbQ0n
sushi bar,Sushi-bar Speakeasy 🎏,Japanese fusion music immersed in oriental styled speakeasy bar | shuffle and itadakimasu 🍣🍹 ,https://open.spotify.com/playlist/2MzUb79N6kHAqY1bihmiFY,ラビリンス,Mondo Grosso,"shibuya-kei, j-dance, city pop, japanese indie, acid jazz, j-r&b",https://open.spotify.com/track/3K2zyJhcnMMA6yOdR6hOW7
sushi bar,Sushi-bar Speakeasy 🎏,Japanese fusion music immersed in oriental styled speakeasy bar | shuffle and itadakimasu 🍣🍹 ,https://open.spotify.com/playlist/2MzUb79N6kHAqY1bihmiFY,Night Birds (feat. Froya & 宮脇翔平),Tokimeki Records,"city pop, j-r&b, j-pop",https://open.spotify.com/track/2cgh33trwcxse6qx4ySYfp
